run,seed,sampler,peak_lr,loss_original,loss_starter,loss_grammar,loss_contrasts,loss_macro,correct,scorable
uniform_lr0.0003_seed42,42,uniform,0.0003,0.8387090563774109,0.7449866533279419,1.372893214225769,1.5329264402389526,1.216935435930888,24,27
uniform_lr0.001_seed42,42,uniform,0.001,0.7467306852340698,0.7042302489280701,1.2268199920654297,0.7890615463256836,0.9067039291063944,24,27
uniform_lr0.003_seed42,42,uniform,0.003,0.7265655398368835,0.7059783935546875,1.2106482982635498,0.8228021860122681,0.9131429592768351,24,27
balanced_lr0.0003_seed42,42,balanced,0.0003,0.8742612600326538,0.8447348475456238,1.0853204727172852,1.0137147903442383,0.9812567035357157,25,27
balanced_lr0.001_seed42,42,balanced,0.001,0.749250054359436,0.7511149048805237,1.0543097257614136,0.8755847811698914,0.8936698039372762,26,27
balanced_lr0.003_seed42,42,balanced,0.003,0.7557185292243958,0.7521906495094299,1.0618976354599,0.688811719417572,0.8343000014623007,26,27
uniform_lr0.001_seed43,43,uniform,0.001,0.730630099773407,0.7064104676246643,1.2342196702957153,0.7793481349945068,0.9066594243049622,25,27
balanced_lr0.003_seed43,43,balanced,0.003,0.7522257566452026,0.7589293122291565,1.0566152334213257,1.0597656965255737,0.9584367473920187,25,27
uniform_lr0.001_seed44,44,uniform,0.001,0.7331316471099854,0.7081412672996521,1.2216492891311646,0.7612707018852234,0.89702041943868,26,27
balanced_lr0.003_seed44,44,balanced,0.003,0.7492943406105042,0.756011962890625,1.0545488595962524,0.9624626040458679,0.9243411421775818,25,27
